Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
CAB 108,Bağlama II,Cihangir Terzi,----,/,TMB / ---,1,5,"CAB, CEB",21821,2023 - 2024 Bahar Dönemi
CAB 108,Bağlama II,Adnan Koç,----,/,TMB / ---,1,5,"CAB, CEB",21822,2023 - 2024 Bahar Dönemi
CAB 108,Bağlama II,Erdem Şimşek,----,/,TMB / ---,2,5,"CAB, CEB",21824,2023 - 2024 Bahar Dönemi
CAB 110,Ud II,--,----,/,TMB / ---,0,0,"CAB, CEB",21825,2023 - 2024 Bahar Dönemi
CAB 1102,Keman II,İbragım Orazov,Pazartesi,1330/1529,TMB / ---,2,5,"MTR, MUT, MUZ, MZT",21981,2023 - 2024 Bahar Dönemi
CAB 1102,Keman II,Pınar Tezişçi,Pazartesi,1330/1529,TMB / ---,4,5,"MTR, MUT, MUZ, MZT",22031,2023 - 2024 Bahar Dönemi
CAB 114,Ney II,Burak Malçok,----,/,TMB / ---,3,5,"CAB, CEB",21828,2023 - 2024 Bahar Dönemi
CAB 116,Mey II,Cem Ekmen,----,/,TMB / ---,2,2,"CAB, CEB",21830,2023 - 2024 Bahar Dönemi
CAB 124,Flüt II,Cem Önertürk,----,/,TMB / ---,2,5,"CAB, CEB, CGM5",21831,2023 - 2024 Bahar Dönemi
CAB 134,Viyolonsel II,Cenk Öztürk,----,/,TMB / ---,2,5,"CAB, CEB",21832,2023 - 2024 Bahar Dönemi
CAB 136,Viyola II,Barış Kerem Bahar,----,/,TMB / ---,1,5,"CAB, CEB",21902,2023 - 2024 Bahar Dönemi
CAB 140,Kemane II,Kadir Verim,----,/,TMB / ---,1,5,"CAB, CEB",21906,2023 - 2024 Bahar Dönemi
CAB 144,Yrd.Çalgı Piyano II,Devlet Devrim Öztaş,Cuma,1400/1559,TMB / ---,14,17,"BST, CAB, CEB, KMP",22111,2023 - 2024 Bahar Dönemi
CAB 152,Kanun II,Serkan Mesut Halili,Pazartesi,1330/1529,TMB / ---,5,5,"CGM3, CGM6, CGM7, CGM8, MTR, MUT, MUZ, MZT, SES",22032,2023 - 2024 Bahar Dönemi
CAB 158,Bağlama II,Erdem Şimşek,Pazartesi,1330/1529,TMB / ---,6,6,"CGM1, CGM6, CGM7, CGM8, MTR, MUT, MUZ, MZT, SES, THO",22034,2023 - 2024 Bahar Dönemi
CAB 158,Bağlama II,Engin Şafak Gürler,Pazartesi,1330/1529,TMB / ---,4,5,"CGM1, CGM6, CGM7, CGM8, MTR, MUT, MUZ, MZT, SES, THO",22035,2023 - 2024 Bahar Dönemi
CAB 158,Bağlama II,Metin Eke,Pazartesi,1330/1529,TMB / ---,5,5,"CGM1, CGM6, CGM7, CGM8, MTR, MUT, MUZ, MZT, SES, THO",22037,2023 - 2024 Bahar Dönemi
CAB 160,Ud II,Sarper Eroğlu,Pazartesi,1330/1529,TMB / ---,0,5,"CGM4, CGM6, CGM7, CGM8, MTR, MUT, MUZ, MZT, SES",22038,2023 - 2024 Bahar Dönemi
CAB 160,Ud II,Buse Sever,Pazartesi,1330/1529,TMB / ---,6,6,"CGM4, CGM6, CGM7, CGM8, MTR, MUT, MUZ, MZT, SES",22039,2023 - 2024 Bahar Dönemi
CAB 166,Kaval II,--,Pazartesi,1330/1529,TMB / ---,0,0,"CGM6, CGM7, CGM8, MTR, MUZ, THO",22040,2023 - 2024 Bahar Dönemi
CAB 168,Klarnet II,Sezgin Unan,Pazartesi,1330/1529,TMB / ---,0,5,"MTR, MUZ, THO",22041,2023 - 2024 Bahar Dönemi
CAB 168,Klarnet II,Sezgin Unan,Cuma,1600/1759,TMB / ---,4,5,"MTR, MUZ, THO",25149,2023 - 2024 Bahar Dönemi
CAB 176,Kemane II,Ferhan Yeprem,Pazartesi,1330/1529,TMB / ---,1,5,"CGM6, CGM7, CGM8, MTR, MUT, MUZ, MZT, THO",22042,2023 - 2024 Bahar Dönemi
CAB 178,Piyano II,Devlet Devrim Öztaş,Pazartesi,1330/1529,TMB / ---,18,19,"MTR, MUT, MUZ, MZT, SES",22114,2023 - 2024 Bahar Dönemi
CAB 178,Piyano II,Devlet Devrim Öztaş,Cuma,1030/1229,TMB / ---,19,19,"MTR, MUT, MUZ, MZT, SES",22112,2023 - 2024 Bahar Dönemi
CAB 178,Piyano II,Sıtkı Kandemir Basmacıoğlu,Cuma,1400/1559,TMB / ---,17,18,"MTR, MUT, MUZ, MZT, SES",22115,2023 - 2024 Bahar Dönemi
CAB 180,Asmalı Davul II,Eyüp Uzunkaya,Pazartesi,1330/1529,TMB / ---,3,10,THO,22046,2023 - 2024 Bahar Dönemi
